"service_code","service_description","amount_covered"
"SXW723354","Cmptr ophth img optic nerve","105.96"
"SSJ918665","Gastric emptying imag study","283.15"
"STR028564","Ophth us quant a only","241.92"
"SWM246005","Liver imaging (3D)","164.19"
"SRC950299","ulcers","2.60"
"SPV592108","Mri brain w/o dye","88.26"
"SLL623446","Elec stim other than wound","239.38"
"SWD328405","Ct hrt w/3d image","236.65"
"SJP664854","Flu vacc prsv free inc antig","25.04"
"SCM873624","X-ray exam of salivary gland","288.66"
"SJG413253","Diag bronchoscope/catheter","296.92"
"SLM218626","Special radiation dosimetry","292.16"
"SJY815090","Chest x-ray","237.95"
"SWD498882","X-ray exam upper gi tract","205.54"
"STC342811","Echo exam of head","9.24"
"SJG773951","Florbetapir F18","77.99"
"SSG607246","Penile vascular study","181.18"
"SYR257656","Heart muscle imaging (PET)","234.26"
"SRM185632","Diag bronchoscope/catheter","111.09"
"SDT453941","X-ray exam of breastbone","288.44"
"STT300916","Ct angio abdominal arteries","8.23"
"SHB681306","Scr c/v cyto,thinlayer,rescr","265.43"
"SVL025885","Ct thorax w/dye","297.52"
"SGQ543269","Meckels divert exam","14.28"
"STR925949","Tc99m medronate","221.33"
"SGS349265","speech device service","250.12"
"SDJ484395","Radiation treatment delivery","242.95"
"SGQ688033","Indium In-111 auto platelet","57.73"
"SFN521383","Potassium hydroxide preps","79.98"
"STP669275","Extremity study","84.11"
"SPV151926","Vascular flow imaging","25.45"
"STM493313","Plasma volume single","40.87"
"SPD655501","Lung ventilation imaging","294.45"
"SBB523250","Intracranial study","201.48"
"SPZ763776","Us exam scrotum","19.55"
"SQM000270","Chest","299.46"
"SCK127759","Screening pap smear by phys","57.56"
"SZD483634","Indium In-111 auto platelet","265.45"
"SBT138240","Brachytx, non-stranded,P-103","235.07"
"SCS698708","Ct maxillofacial w/dye","46.17"
"SSM791935","of small bowel","199.10"
"SQV614802","I131 iodide sol, dx ","31.93"
"SPN681568","Complex body","121.79"
"SXL633735","Serial salivary imaging","125.76"
"SGF932383","Liver imaging","95.78"
"SWR354443","hardening","204.38"
"SNL907071","Tc99m","85.03"
"SHB079134","Ct abd & pelv w/contrast","238.79"
"SHN177060","ndl musc/tis for rt","286.85"
"STG881955","Mri lower","49.45"
"SWS250836","Bone marrow imaging body","55.14"
"SYW588064","management","91.30"
"SMB780419","Cath place cardio brachytx","62.52"
"SNL012286","Ntsty modul rad tx dlvr smpl","222.97"
"SXX023476","Radiation treatment delivery","54.97"
"SNZ264676","speech device service","89.78"
"SBF223835","SRS spinal lesion addl","48.15"
"SFZ939314","Transport portable x-ray","68.79"
"SBB136656","imaging (3D)","250.72"
"SPG615178","Telethx isodose plan cplx","110.93"
"SYX315659","Cad cxr with interp","152.43"
"SVB856700","Radiation treatment aid(s)","87.86"
"SYX370339","of shoulders","98.89"
"SDR266207","X-ray exam entire spi 4/5 vw","268.67"
"SJB446451","Apply intrcav radiat interm","103.48"
"STV875092","Laryngeal function studies","186.96"
"SFP363393","Ophth us b w/non-quant a","66.45"
"SHL285512","Mri lower extremity w/dye","97.23"
"SFG210235","Us bone density measure","225.28"
"SPL553639","Intracranial study","30.37"
"SGG263481","Tumor imaging whole body","183.51"
"SPV841189","multipack","148.94"
"STQ657668","Liver imaging with flow","21.76"
"SRM061745","Nuclear exam of tear flow","254.55"
"SHP164262","Mri angio abdom w orw/o dye","63.82"
"SPR277041","Testicular imaging w/flow","78.04"
"SQL170454","Chest x-ray and fluoroscopy","231.26"
"SVC691952","X-ray exam pituitary saddle","62.61"
"SYR248035","Post-coital mucous exam","261.48"
"SMG129219","Us xtr non-vasc","235.88"
"SLG549899","Radiation treatment aid(s)","143.29"
"SLC253729","Brachytx, stranded, NOS","275.91"
"SRR260985","Brain","129.67"
"SFV570514","Ct head/brain w/o & w/dye","88.99"
"SSR976088","X-ray exam of elbow","94.35"
"SXZ280516","Us bone density measure","117.62"
"SSM797269","Lap ins device for rt","34.93"
"SGZ842563","Prostate biopsy, any mthd","80.39"
"SQW386568","Telethx isodose plan simple","21.76"
"SRR562826","Parathyroid nuclear imaging","256.90"
"SDD696810","X-ray exam pituitary saddle","282.25"
"SWN213809","Telethx isodose plan simple","284.92"
"SSZ165680","Screen c/v thin layer by MD","37.41"
"SZN390327","Telethx isodose plan simple","54.75"
"SDV343944","X-ray exam of foot","172.89"
"SGF819089","Tc99m mebrofenin","42.75"
"SDF998933","cryopreservation oocyte(s)","77.15"
"SGZ993867","LDCT for Lung CA screen","214.28"
"SGD210282","Chest","75.34"
"SGV416389","measurements","146.61"
"SST889671","Vascular study","112.66"
"SSS843018","Extracranial study","274.09"
"SSK756698","Kidney function study","223.41"
"SKH823723","LOCM 300-399mg/ml iodine,1ml","6.34"
"SVZ985505","Ophth us quant a only","235.69"
"SQV994813","Liver & spleen image/flow","275.19"
"SXS294222","Hdr rdncl skn surf brachytx","215.63"
"SMC862168","Inj Fe-based MR","90.08"
"SKQ789997","Mechanical traction therapy","156.55"
"SNN676362","Middle cerebral artery echo","22.49"
"SLP252676","Dxa bone density/peripheral","217.29"
"SGM792246","Radiation treatment delivery","211.50"
"SFM915456","Sbrt delivery","171.98"
"SRN792895","EIA HIV-1/HIV-2 screen","31.10"
"SDB385989","Cpmtr ophth dx img ant segmt","80.75"
"SDX592362","Cptr ophth dx","187.53"
"SWG818244","Tc99 Tilmanocept diag 0.5mci","273.75"
"SGF879823","Ct angio abd&pelv w/o&w/dye","11.65"
"SGL603286","Thyroid uptake measurement ","254.72"
"SPZ104852","Ex for speech device rx addl","259.46"
"SVF015083","Delivery comp imrt","116.20"
"SXW727826","Liver image (3d) with flow","157.34"
"SMF171654","Neuromuscular reeducation","216.90"
"SVR887546","Extremity study","34.66"
"STR035727","Co57 cyano","287.68"
"SSD931522","Tc99m bicisate","39.64"
"SRF414290","Flu vacc cell cult prsv free","45.41"
"SNG735142","Mri pelvis w/o dye","34.26"
"SXT639717","knee 4 or more","175.52"
"SGS956342","Radiation treatment aid(s)","259.13"
"SGY001172","Throat x-ray & fluoroscopy","42.54"
"SJH691010","Mri chest w/dye","54.21"
"SSX630546","Contrst x-ray exam of throat","131.95"
"SCT141466","Penile vascular study","257.11"
"SYL211093","Liver & spleen image/flow","104.43"
"SXS711768","Breast tomosynthesis uni","197.44"
"SSX537773","Mri neck","67.86"
"SGV117354","Echo exam of eye","35.34"
"SZN860332","Diagnosticmammographydigital","121.78"
"SLY970661","Hematopoietic nuclear tx","213.13"
"SNF532541","Thorax stereo rad targetw/tx","91.52"
"SNH635247","Inj perflutren lip micros,ml","296.69"
"SFD052725","Srs linear based","132.54"
"SND613434","LOCM>=400 mg/ml iodine,1ml","47.70"
"SFY795720","X-ray exam of ribs/chest","131.06"
"SMJ884197","Ct maxillofacial w/o & w/dye","85.05"
"SRV636758","Colorec CA scr, sto bas DNA","128.61"
"SSL625200","X-ray exam of foot","215.03"
"SPC995527","Noninvas vasc dx study proc","42.53"
"STS092191","Ins device for rt guide open","264.41"
"SGS694921","Complex body section x-rays","254.36"
"SLG759625","Brachytx, non-str,Yttrium-90","295.92"
"SLL378606","CBC/diffwbc w/o platelet","244.03"
"SDK627979","X-ray exam of ribs","254.24"
"SXT162183","X-ray measurement of pelvis","167.38"
"SRP929282","Extremity study","140.96"
"SJK135512","X-ray exam of shoulder","279.47"
"SDG654388","Ob us follow-up","180.49"
"SRG644885","HOCM 350-399mg/ml iodine,1ml","65.69"
"SXP950947","HIV combination assay","235.43"
"SLV642075","Ct head/brain w/o & w/dye","292.85"
"SMB068413","Mri lower extremity w/dye","291.23"
"SLR057413","Venous thrombosis imaging","42.14"
"SGX079112","X-ray exam of body section","110.08"
"SVG613902","Chest x-ray","48.32"
"SQD838683","Mri lower extremity w/dye","161.97"
"SNJ925532","therapy","28.35"
"SCP695618","Blood volume","12.39"
"SZC841047","Pneumococcal vacc 13 val im","225.52"
"SDZ862226","Ct angio abdominal arteries","183.91"
"SBP839946","Brachytx, non-str, HA, I-125","6.47"
"SRV602208","Chest x-ray","122.08"
"SNX328601","Thyroid met imaging body","297.92"
"SXZ279306","Blood/lymph nuclear exam","102.78"
